Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.10   278.00     1.00     2.00     2.060000     4.391704   71.288853        1
   1     0.10   278.00     1.00     5.00     2.580000     7.592659 1000.000000        1
   1     0.10   278.00     1.00    10.00     3.150000    14.193701 1000.000000        1
   1     0.10   278.00     1.00    20.00     4.390000   143.172361 1000.000000        1
   1     0.10   278.00     2.00     0.10     1.440000     1.740000    2.140000        0
   1     0.10   278.00     2.00     0.20     1.540000     1.900000    2.390000        0
   1     0.10   278.00     2.00     0.50     1.750000     2.250000    2.970000        0
   1     0.10   278.00     2.00     1.00     1.990000     2.690000    3.780000        0
   1     0.10   278.00     2.00     2.00     2.340000     3.420000    5.400000        0
   1     0.10   278.00     2.00     5.00     3.110000     5.075317   10.555090        1
   1     0.10   278.00     2.00    10.00     4.170000     8.397860   50.095201        1
   1     0.10   278.00     2.00    20.00     5.760000    15.328931 1000.000000        1
   1     0.10   278.00     3.00     0.10     1.590000     1.810000    2.080000        0
   1     0.10   278.00     3.00     0.20     1.690000     1.950000    2.260000        0
   1     0.10   278.00     3.00     0.50     1.900000     2.240000    2.660000        0
   1     0.10   278.00     3.00     1.00     2.120000     2.560000    3.130000        0
   1     0.10   278.00     3.00     2.00     2.460000     3.080000    3.950000        0
   1     0.10   278.00     3.00     5.00     3.240000     4.470000    6.490000        0
   1     0.10   278.00     3.00    10.00     4.310000     6.820000   12.660000        0
   1     0.10   278.00     3.00    20.00     6.120000    10.810734   30.240770        1
   1     0.10   278.00     4.00     0.10     1.710000     1.880000    2.090000        0
