Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0.499437336	1.498788314	3.68E-03	1.02E-02	0	9.18E-04	3.00E-02	1400
0.496234135	2.239425337	9.03E-03	5.70E-02	0	3.32E-02	0.199999995	1000
0.782341705	1.926410291	1.99E-02	9.96E-02	0	3.69E-02	0.199999995	1000
1.156651408	1.837235611	4.09E-02	0.152053567	0	3.79E-02	0.199999995	1000
1.634140748	1.828018596	7.87E-02	0.211721632	0	3.65E-02	0.199999995	1000
2.22699957	1.846632541	0.142983136	0.269557115	0	3.22E-02	0.199999995	1000
2.948909265	1.883156956	0.242090115	0.320683916	0	2.67E-02	0.199999995	1000
3.811005383	1.92708661	0.381826066	0.358323696	0	2.07E-02	0.199999995	1000
4.827909157	1.973654695	0.563919228	0.383938441	0	1.54E-02	0.199999995	1000
6.00905473	2.026461755	0.782962333	0.407015391	0	1.15E-02	0.199999995	1000
7.367920184	2.084075197	1.03184212	0.434560273	0	8.94E-03	0.199999995	1000
8.918748709	2.148371735	1.304577401	0.475021161	0	7.38E-03	0.199999995	1000
10.67868465	2.208800558	1.616542179	0.511485053	0	6.41E-03	0.199999995	1000
12.65458256	2.27272072	2.009806657	0.520634374	0	6.20E-03	0.199999995	1000
14.85657764	2.338841371	2.435488251	0.535165304	0	6.14E-03	0.199999995	1000
17.29678699	2.401721853	2.916883794	0.543323986	0	6.11E-03	0.199999995	1000
20.00244855	2.464998727	3.451687981	0.552464232	0	6.12E-03	0.199999995	1000
0.509619001	2.64154441	9.56E-03	7.58E-02	0	6.65E-02	0.299999994	1000
0.78299115	2.182696996	2.09E-02	0.135227718	2.35E-03	7.66E-02	0.299999994	1000
1.156880971	2.039261653	4.33E-02	0.217318743	9.56E-03	7.70E-02	0.299999994	1000
1.633975093	2.004070144	8.63E-02	0.317423941	1.41E-02	7.61E-02	0.299999994	1000
2.227212086	2.009268005	0.158557895	0.423682349	1.14E-02	7.38E-02	0.299999994	1000
2.948634016	2.039148342	0.276863624	0.529813299	6.04E-03	7.11E-02	0.299999994	1000
3.811369066	2.07789132	0.456391142	0.620550179	0	6.55E-02	0.299999994	1000
4.826284295	2.123848224	0.702196499	0.690679837	0	5.32E-02	0.299999994	1000
